metricId,name,description,targetValue,weight,enabled
"8,6,1",Percentage of ATP/EDR admin consoles sending logs and alerts to Splunk within last 48 hours,,0.74,1,true
"8,7,1",Percentage of Infoblox instances sending DNS logs to Splunk,,0.74,0.5,true
"8,7,2",Percentage of endpoints sending DNS query logs to SIEM platform,,0.74,0.5,true
"8,8,1",Percentage of corporate assets (Workstations and Servers)  sending CLI logs to Log Management System,,0.74,1,true
"9,5,1",Percentage of Critical Servers covered by Application Firewall,,0.74,1,true
"10,1,1",Percentage of hardware devices configured to be automatically backed up.,,0.74,1,true
"10,2,1",Percentage of hardware devices configured to do a full automatic backup.,,0.74,1,true
"11,4,1",Percentage of network devices without EOL OS related vulnerabilities.,Percentage of network devices without EOL OS related vulnerabilities.,0.74,1,true
"11,6,1",Percentage of administrative remote sessions established from a Privilege Sessions Manager,,0.74,1,false
"12,1,1",Percentage of premises having boundary firewall devices sending logs for analysis and monitoring to SIEM,,0.74,1,true
"12,3,1",Percentage of Netowork boundary firewalls configured to use blacklisted sources/destinations.,,0.74,1,true
"12,5,1",Percentage of Netowork boundary firewalls configured to log traffic.,,0.74,1,true
"12,9,1",Percentage of hosting locations or office premises  covered by Web Proxy firewall,,0.74,1,true
"12,11,1",Normal VPN accounts enrolled for MFA,Percentage of human related LAN IDs having VPN access enrolled for MFA,0.74,0.5,true
"12,11,2",Normal accounts accessing Azure enrolled for MFA,Percentage of human-related LAN IDs accessing Azure cloud services enabled for MFA,0.74,0.5,true
"13,4,1",Percentage of session IDs with appclass file share having action,,0.75,0.5,true
"13,4,2",Percentage of session IDs with appclass web-mail having action,,0.74,0.5,true
"13,6,1",Percentage of eligible workstations  covered by approved Encryption solution,,0.74,1,true
"14,1,1",Percentage of Plants having network segregation on the firewalls,,0.74,1,true
"14,2,1",Percentage of on-prem firewalls having filtering policies applied between VLANs,,0.74,1,true
"15,1,1",Percentage of Wireless Network access locations with inventoried Wireless Access Points.,,0.75,1,true
"15,10,1","Percentage of sites with CORPORATE Wi-Fi network enabled having BYOD, VISITOR or HOTSPOT SSIDs",,0.74,1,true
"16,1,1",Percentage of Authentication Systems presented in MDLZ CMDB,,0.74,0,false
"16,2,1",Percentage of Business Service CIs  configured to authenticate with SSO,,0.74,1,true
"16,3,1",Percentage of accounts enrolled for MFA,,0.74,0.5,true
"16,3,2",Percentage of accounts enrolled for Corporate Only Access,,0.74,0.5,true
"16,6,1",Percentage of identities' account present into MDLZ  authroization systems,,0.74,1,true
"16,7,1",Percentage of identities with Terminated Status in IDM with automatically disabled LANIDs in 24 hours,,0.74,1,true
"16,8,1","Percentage of ""orphaned"" accounts in AD with status DISABLED",,0.74,1,true
"16,9,1","Percentage of all AD accounts with LastLogon timestamp more than ""inactivity period"" with AccountControl status ""DISABLED""",,0.74,1,true
"16,10,1",Percentage of AD accounts in scope having account expiration date less than 180 days,,0.74,1,true
"16,11,1","Percentage of Workstations enabled for ""Locking screen"" GPO",,0.74,1,true
"16,12,1","Percentage of authentication systems monitored for failed login attempts (e.g. with  event id  ""531: Logon Failure - Account currently disabled"" for AD)",,0.74,0,false
"19,8,1",Percentage of Incidents/cases with existing priority based on affected User or Asset criticality or associated risk with it,,0.74,1,true
